house,year,season,homebase,parent,director,director_years,director_previous_houses,newyork,paris,london,milan,met,employees_num,google_search_sentiment,fashion_magazine_sentiment
Bottega Veneta,2023,fw,Milan,Kering,Matthieu Blazy,14,3,0,0,0,1,1,9201,0.089318,0.3
Bottega Veneta,2023,ss,Milan,Kering,Matthieu Blazy,14,3,0,0,0,1,1,9201,0.089318,0.25
Bottega Veneta,2022,fw,Milan,Kering,Matthieu Blazy,14,3,0,0,0,1,1,9293,0.089318,0.3
Bottega Veneta,2022,ss,Milan,Kering,Matthieu Blazy,14,3,0,0,0,1,1,9293,0.089318,0.25
Bottega Veneta,2021,fw,Milan,Kering,Daniel Lee,8,1,0,0,0,1,1,9234,0.089318,0.1090909091
Bottega Veneta,2021,ss,Milan,Kering,Daniel Lee,8,1,0,0,0,1,1,9234,0.089318,0
Bottega Veneta,2020,fw,Milan,Kering,Daniel Lee,8,1,0,0,0,1,1,9892,0.089318,0.3
Bottega Veneta,2020,ss,Milan,Kering,Daniel Lee,8,1,0,0,0,1,1,9892,0.089318,0.25
Bottega Veneta,2019,fw,Milan,Kering,Daniel Lee,8,1,0,0,0,1,1,9862,0.089318,0.3
Bottega Veneta,2019,ss,Milan,Kering,Daniel Lee,8,1,0,0,0,1,1,9862,0.089318,0
Bottega Veneta,2018,fw,Milan,Kering,Tomas Maier,17,1,0,0,0,1,1,9752,0.089318,0.05
Bottega Veneta,2018,ss,Milan,Kering,Tomas Maier,17,1,0,0,0,1,1,9752,0.19125,0
Valentino,2024,fw,Rome,Independent,Alessandro Michele,21,1,0,1,0,0,1,9336,0.089318,0
Valentino,2024,ss,Rome,Independent,Alessandro Michele,21,1,0,1,0,0,1,9336,0.089318,0.125
Valentino,2023,fw,Rome,Independent,Pierpaolo Piccioli,21,1,0,1,0,0,1,9201,0.089318,0.25
Valentino,2023,ss,Rome,Independent,Pierpaolo Piccioli,21,1,0,1,0,0,1,9201,0.089318,0
Valentino,2022,fw,Rome,Independent,Pierpaolo Piccioli,21,1,0,1,0,0,1,9293,0.089318,0.25
Valentino,2022,ss,Rome,Independent,Pierpaolo Piccioli,21,1,0,1,0,0,1,9293,0.089318,0
Valentino,2021,fw,Rome,Independent,Pierpaolo Piccioli,21,1,0,1,0,0,1,9234,0.089318,0.1893939394
Valentino,2021,ss,Rome,Independent,Pierpaolo Piccioli,21,1,0,1,0,0,1,9234,0.089318,0.125
Valentino,2020,fw,Rome,Independent,Pierpaolo Piccioli,21,1,0,1,0,0,1,9892,0.089318,0.1893939394
Valentino,2020,ss,Rome,Independent,Pierpaolo Piccioli,21,1,0,1,0,0,1,9892,0.089318,125
Valentino,2019,fw,Rome,Independent,Pierpaolo Piccioli,21,1,0,1,0,0,1,9862,0.089318,0.05
Valentino,2019,ss,Rome,Independent,Pierpaolo Piccioli,21,1,0,1,0,0,1,9862,0.089318,0
Valentino,2018,fw,Rome,Independent,Pierpaolo Piccioli,21,1,0,1,0,0,1,9752,0.089318,0.05
Valentino,2018,ss,Rome,Independent,Pierpaolo Piccioli,21,1,0,1,0,0,1,9752,0.19125,0
Hermes,2024,fw,Paris,Independent,Nadège Vanhee-Cybulski,4,3,0,1,0,0,1,9336,0.089318,0
Hermes,2024,ss,Paris,Independent,Nadège Vanhee-Cybulski,4,3,0,1,0,0,1,9336,0.089318,0.4393939394
Hermes,2023,fw,Paris,Independent,Nadège Vanhee-Cybulski,4,3,0,1,0,0,1,9201,0.089318,0.4
Hermes,2023,ss,Paris,Independent,Nadège Vanhee-Cybulski,4,3,0,1,0,0,1,9201,0.089318,0.25
Hermes,2022,fw,Paris,Independent,Nadège Vanhee-Cybulski,4,3,0,1,0,0,1,9293,0.089318,0.25
Hermes,2022,ss,Paris,Independent,Nadège Vanhee-Cybulski,4,3,0,1,0,0,1,9293,0.089318,0.25
Hermes,2021,fw,Paris,Independent,Nadège Vanhee-Cybulski,4,3,0,1,0,0,1,9234,0.089318,0
Hermes,2021,ss,Paris,Independent,Nadège Vanhee-Cybulski,4,3,0,1,0,0,1,9234,0.089318,0.1893939394
Hermes,2020,fw,Paris,Independent,Nadège Vanhee-Cybulski,4,3,0,1,0,0,1,9892,0.089318,0.1893939394
